problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1_with_norm_constraint_Linf_g_type_('L1', {})_n=30",33.8621,15.35,53.0945,29.2205,0.0,1.8135,1.0008,21.7619,0.0,6.7917,53.0945,1.0
"JOS1_with_norm_constraint_Linf_g_type_('L1', {})_n=100",158.5383,17.82,208.0674,102.8753,0.0,32.1309,1.06,75.1719,0.0,39.9749,208.0674,1.0
"FF_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.1419,3.63,0.4488,0.0434,0.2677,0.0255,1.0344,0.0713,0.0,-0.111,0.4488,1.0
"FF_with_norm_constraint_Linf_g_type_('zero', {})_n=10",0.0023,0.0,0.5204,0.7939,0.0,0.0,1.0,1.0,0.0,0.0135,0.7939,1.0
"FF_with_norm_constraint_Linf_g_type_('zero', {})_n=10",0.002,0.0,0.5204,0.7939,0.0,0.0,1.0,1.0,0.0,0.0133,0.7939,1.0
"FF_with_norm_constraint_Linf_g_type_('zero', {})_n=10",0.0023,0.0,0.5204,0.7939,0.0,0.0,1.0,1.0,0.0,0.0141,0.7939,1.0
"FF_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.0438,0.83,0.5011,0.3619,0.1889,0.0195,1.022,0.559,0.0,-0.1063,0.5011,1.0
"FF_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.0294,0.528,0.5097,0.2514,0.236,0.0134,1.0235,0.4595,0.0,-0.1109,0.5097,1.0
"FF_with_norm_constraint_Linf_g_type_('L1', {})_n=4",0.8984,0.41,4.7856,1.1477,0.0,0.1384,0.9506,1.5844,0.0,0.293,4.7856,1.0
"FF_with_norm_constraint_Linf_g_type_('L1', {})_n=4",1.5537,1.88,4.6679,1.1403,0.0,0.1042,0.9403,1.5728,0.0,0.279,4.6679,1.0
"FF_with_norm_constraint_Linf_g_type_('L1', {})_n=2",1.5611,1.66,2.3643,0.4886,0.0,0.0625,0.9713,0.6605,0.0,0.0123,2.3643,1.0
"FF_with_norm_constraint_Linf_g_type_('L1', {})_n=2",2.307,2.42,2.157,0.5843,0.0,0.0986,0.9757,0.7009,0.0,0.0074,2.157,1.0
"FF_with_norm_constraint_Linf_g_type_('L1', {})_n=4",0.761,0.42,4.7861,1.1614,0.0,0.1445,0.9671,1.4395,0.0,0.2366,4.7861,1.0
"POLONI_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.5292,14.02,16.5896,2.2709,4419.6644,0.4715,0.9988,1.7988,0.0,-17.1662,16.5896,1.0
"FF_with_norm_constraint_Linf_g_type_('L1', {})_n=4",0.9844,0.47,4.846,1.1326,0.0,0.1037,0.96,1.5606,0.0,0.3073,4.846,1.0
"POLONI_with_norm_constraint_Linf_g_type_('L1', {})_n=2",11.7193,14.39,24.6731,5.3182,4256.4752,1.5083,0.9828,4.5485,0.0,-15.6579,24.6731,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0242,3.03,1.2607,0.9,8.0027,0.1725,1.0168,-0.986,1.0,-0.669,1.2607,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0253,3.16,1.292,0.8403,7.6507,0.0588,0.9855,-0.984,1.0,-0.7144,1.292,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.1433,6.81,1.7459,0.9172,7.8895,0.1715,1.0014,-0.9846,1.0,-0.7323,1.7459,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0674,1.0,30.9121,24.9124,975.1392,1.5363,1.0076,-18.0458,1.0,-6.7198,30.9121,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0713,1.0,31.7301,24.9166,944.1745,0.8312,1.0004,-18.1251,1.0,-6.6894,31.7301,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0698,1.0,26.6752,25.1808,414.4252,0.2605,0.9586,-17.8209,1.0,-4.7371,26.6752,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0684,1.0,26.0915,25.9168,384.4535,0.3203,0.9876,-17.9286,1.0,-5.841,26.0915,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.01,1.0,1.0768,1.3275,1.9784,0.1595,0.6684,-0.1781,1.0,-0.3082,1.3275,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.0104,199.0,7648.7195,5591.26,2095133.1453,1943.7657,1.0093,-199.9633,1.0,-143.0644,7648.7195,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.0008,199.0,138355.9512,281.5111,268213828.401,112754.1359,1.2697,-199.9956,1.0,-97.7186,138355.9512,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.9565,199.0,5395714.7795,13002.1569,1869972141.9165,4383678.5129,1.1088,-199.6217,1.0,-177.0842,5395714.7795,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.0179,199.0,6264.0294,6264.678,1256687.0816,,,-199.6905,1.0,-180.0262,6264.678,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.0469,199.0,11859.8401,11860.4965,2379175.8161,,,-199.6194,1.0,-81.2511,11860.4965,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0804,9.0,2.3586,2.7715,0.0,,,3.3586,0.0,0.0627,2.7715,1.0
"ZDT1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",4.1402,169.17,3.4182,0.0639,0.6161,0.0527,0.9895,0.0865,0.0,-0.1799,3.4182,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0801,9.54,4.6581,0.2383,0.2049,0.0494,0.9953,0.5898,0.0,-0.1103,4.6581,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.0967,9.62,4.4541,0.8417,0.0,0.0921,0.9986,1.2562,0.0,0.1408,4.4541,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.1119,11.0,6.8799,7.2444,0.0,,,7.8799,0.0,6.0079,7.2444,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",1.8266,199.0,2.5256,2.9254,0.0,,,3.5252,0.0,1.9427,2.9254,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.7706,9.0,3.7849,4.1713,0.0,,,4.7849,0.0,3.4895,4.1713,1.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.1588,1.0,0.0,0.7335,0.0001,,,1.0,0.01,-0.0001,0.7335,0.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.1516,1.0,0.0,0.7335,0.0001,,,1.0,0.01,-0.0001,0.7335,0.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.1548,1.0,0.0,0.7335,0.0001,,,1.0,0.01,-0.0,0.7335,0.0
"ZDT2_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.1511,1.0,0.0,0.7335,0.0001,0.0,1.0,1.0,0.01,-0.0001,0.7335,0.0
"AP3_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.3785,34.44,0.9525,0.1402,0.0,0.0259,1.022,0.0,0.0,-0.0,0.9525,1.0
"AP3_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.344,34.41,0.934,0.0341,0.0,0.0385,1.0354,0.0,0.0,-0.0,0.934,1.0
"FAR1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.932,33.08,0.9161,0.6204,5.1038,0.0892,1.0013,0.2664,0.875,-0.5602,0.9161,1.0
"FAR1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.8983,31.825,0.9214,0.3273,5.642,0.0614,1.0079,-0.1506,1.0,-0.5857,0.9214,1.0
"FF1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0034,0.0,0.1651,0.0001,0.0194,0.0747,1.209,-0.0555,1.0,-0.0224,0.1651,1.0
"FF1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.012,0.37,0.1795,0.0002,0.0286,0.0797,1.203,-0.0953,1.0,-0.0317,0.1795,1.0
"JOS4_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0663,0.99,28.8144,0.6926,648.0117,2.0141,0.9802,-16.6072,1.0,-6.1238,28.8144,1.0
"KW2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.7537,19.36,1.3619,0.3675,47.7529,0.3304,0.9733,0.9696,0.2584,-1.424,1.3619,1.0
"LFR1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.4145,7.05,0.4955,298.5212,246016.0376,7.4852,1.01,0.0496,0.99,-97.6435,298.5212,1.0
"LOV1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.195,10.29,21.8185,2.4385,0.0,1.3498,0.9664,1.2728,0.0,0.0706,21.8185,1.0
"LOV2_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.8891,11.95,7.7879,72.0691,274.4475,6.8264,1.0203,176.4707,0.8182,-1.28,72.0691,1.0
"LOV3_with_norm_constraint_Linf_g_type_('zero', {})_n=2",1.1893,10.35,82.6548,3.7094,0.0,1.0872,0.9836,3.1111,0.0,1.6071,82.6548,1.0
"SD_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.8846,10.22,0.1508,0.2536,12.554,0.1234,0.9697,0.8369,0.0,-0.8424,0.2536,1.0
"TOI4_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.5384,9.25,10.3011,5.9974,0.005,0.727,1.0028,0.0447,0.0,-0.0001,10.3011,1.0
"TOI4_with_norm_constraint_Linf_g_type_('zero', {})_n=4",0.4581,9.13,9.3873,9.219,0.005,0.3548,0.9934,0.0295,0.0,-0.0001,9.3873,1.0
"AP4_with_norm_constraint_Linf_g_type_('zero', {})_n=3",4.5303,122.04,32.8632,1.2148,0.0,5.0758,1.0074,0.0453,0.0,0.0152,32.8632,1.0
"IKK1_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.1522,3.72,1.8931,1609.3829,674.6632,0.298,0.9999,0.1059,0.0,-0.0,1609.3829,1.0
"TRIDIA_with_norm_constraint_Linf_g_type_('zero', {})_n=3",0.6135,8.66,124.3661,0.4134,0.0,9.0138,0.9572,0.3746,0.0,0.0983,124.3661,1.0
"TRIDIA_with_norm_constraint_Linf_g_type_('zero', {})_n=3",0.6442,9.0,101.7794,11.7215,0.0,57.2025,1.0066,11.2995,0.0,2.4987,101.7794,1.0
"TRIDIA_with_norm_constraint_Linf_g_type_('zero', {})_n=3",0.4489,7.0,163.5607,12.4697,0.0,64.3437,0.9009,12.4122,0.0,4.7857,163.5607,1.0
"TRIDIA_with_norm_constraint_Linf_g_type_('zero', {})_n=3",0.5774,8.3,172.2679,0.703,0.0,14.8112,0.9361,0.5962,0.0,0.1728,172.2679,1.0
"SD_with_norm_constraint_Linf_g_type_('L1', {})_n=4",5.3177,2.89,2.8262,1.6598,4.6434,0.2148,0.9408,3.1476,0.0,-0.4827,2.8262,1.0
"AP1_with_norm_constraint_Linf_g_type_('L1', {})_n=2",8.615,7.04,29.363,1.6183,0.0,2.8319,1.0529,0.6726,0.0,0.2273,29.363,1.0
